phase,stack,component,metric,unit,min,mean,max
load,notk8s,nodelet,rss_kib,MiB,22.99609375,23.244010416666665,23.37109375
load,k8s,nodelet,rss_kib,MiB,95.52734375,96.85756959033614,98.109375
load,notk8s,nodeproxy,rss_kib,MiB,14.15625,14.15625,14.15625
load,k8s,nodeproxy,rss_kib,MiB,49.56640625,49.91649159663866,50.09375
load,notk8s,nodescheduler,rss_kib,MiB,21.5,21.5,21.5
load,k8s,nodescheduler,rss_kib,MiB,61.328125,63.174172794117645,63.6484375
load,notk8s,nodestore,rss_kib,MiB,20.4453125,20.6390625,20.8203125
load,k8s,nodestore,rss_kib,MiB,57.01171875,59.12152048319328,60.23046875
load,notk8s,combined,rss_kib,MiB,530.37890625,533.4118489583333,535.62109375
load,k8s,combined,rss_kib,MiB,1009.3125,1016.863018644958,1032.296875
load,k3s,combined,rss_kib,MiB,748.0078125,750.8061848958333,754.77734375
load,notk8s,containerd,pss_kib,MiB,61.033203125,62.60501302083333,63.7978515625
load,k8s,containerd,pss_kib,MiB,87.78125,87.9807805934874,88.1396484375
load,k3s,containerd,pss_kib,MiB,110.916015625,112.73212890625,116.119140625
load,notk8s,coredns,pss_kib,MiB,64.9765625,65.05068359375,65.109375
load,k8s,coredns,pss_kib,MiB,82.1875,82.36994485294117,82.4375
load,k3s,coredns,pss_kib,MiB,64.8984375,65.14537760416667,65.3984375
load,notk8s,flanneld,pss_kib,MiB,41.44921875,41.53541666666667,41.57421875
load,k8s,flanneld,pss_kib,MiB,47.625,47.64814206932773,47.80859375
load,k3s,k3s,pss_kib,MiB,453.068359375,453.72399088541664,454.263671875
load,notk8s,nodeapiserver,pss_kib,MiB,226.9658203125,227.16435546875,227.7265625
load,k8s,nodeapiserver,pss_kib,MiB,353.37890625,361.21425288865544,380.28125
load,notk8s,nodecontroller,pss_kib,MiB,32.4326171875,33.16397298177083,33.365234375
load,k8s,nodecontroller,pss_kib,MiB,121.3203125,122.08229385504201,123.5703125
load,notk8s,nodelet,pss_kib,MiB,10.0244140625,10.3229248046875,10.44140625
load,k8s,nodelet,pss_kib,MiB,93.4130859375,94.71910287552521,95.9404296875
load,notk8s,nodeproxy,pss_kib,MiB,4.41796875,4.424153645833333,4.4248046875
load,k8s,nodeproxy,pss_kib,MiB,49.83984375,50.24146533613445,50.46484375
load,notk8s,nodescheduler,pss_kib,MiB,9.3759765625,9.456510416666667,9.46875
load,k8s,nodescheduler,pss_kib,MiB,61.76171875,63.50912552521008,63.96875
load,notk8s,nodestore,pss_kib,MiB,10.8154296875,11.028011067708333,11.1865234375
load,k8s,nodestore,pss_kib,MiB,57.6171875,59.57943802521008,60.8046875
load,notk8s,combined,pss_kib,MiB,461.5341796875,464.75104166666665,466.9736328125
load,k8s,combined,pss_kib,MiB,961.9365234375,969.3445460215336,985.1982421875
load,k3s,combined,pss_kib,MiB,629.1640625,631.6014973958333,635.4140625
